[Mon Aug 04 18:49:10.555231 2025] [php:error] [pid 1716:tid 1188] [client ::1:56260] script 'C:/MyServer/www/info.php' not found or unable to stat, referer: http://localhost/
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_futime(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 709
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_grp(): Implicitly marking parameter $data as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 753
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_mkdir(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 852
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_mknod(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 917
[Tue Aug 05 01:02:28.219693 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_nop(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 965
[Tue Aug 05 01:02:28.220602 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_readahead(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 1016
[Tue Aug 05 01:02:28.220602 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_readdir(): Implicitly marking parameter $data as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 1319
[Tue Aug 05 01:02:28.220602 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_readlink(): Implicitly marking parameter $data as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 1367
[Tue Aug 05 01:02:28.220602 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_rename(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 1416
[Tue Aug 05 01:02:28.220602 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_rmdir(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 1464
[Tue Aug 05 01:02:28.220602 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_seek(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 1520
[Tue Aug 05 01:02:28.220602 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_sendfile(): Implicitly marking parameter $pri as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 1572
[Tue Aug 05 01:02:28.220602 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_sendfile(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 1572
[Tue Aug 05 01:02:28.220602 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_sendfile(): Implicitly marking parameter $data as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 1572
[Tue Aug 05 01:02:28.220602 2025] [php:notice] [pid 8532:tid 1200] [client ::1:56955] PHP Deprecated:  Safe\\eio_symlink(): Implicitly marking parameter $callback as nullable is deprecated, the explicit nullable type must be used instead in C:\\MyServer\\phpmyadmin\\vendor\\thecodingmachine\\safe\\generated\\eio.php on line 1734
